Difficulty,Title,Frequency,Link,Topics
MEDIUM,Maximum Product Subarray,38.6,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Subsets,34.1,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Letter Combinations of a Phone Number,34.1,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Sqrt(x),34.1,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Rotate Array,34.1,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Decode String,34.1,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Plates Between Candles,34.1,https://leetcode.com/problems/plates-between-candles,"Array, String, Binary Search, Prefix Sum"
MEDIUM,Basic Calculator II,34.1,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Diameter of Binary Tree,28.4,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Valid Palindrome,28.4,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Random Pick with Weight,28.4,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
EASY,Symmetric Tree,20.7,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Trapping Rain Water,87.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,83.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,82.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Merge Intervals,80.5,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Group Anagrams,79.9,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Add Two Numbers,77.7,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Merge k Sorted Lists,77.3,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,3Sum,74.0,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,73.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,73.1,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Maximum Subarray,73.1,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Copy List with Random Pointer,71.8,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
HARD,Word Ladder,71.8,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Longest Palindromic Substring,70.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Word Search,69.9,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
EASY,Merge Sorted Array,69.9,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Jump Game,69.4,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Climbing Stairs,68.9,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Generate Parentheses,68.4,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Longest Consecutive Sequence,66.1,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Longest Common Prefix,64.8,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Container With Most Water,63.5,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Word Break II,62.1,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Remove Duplicates from Sorted Array,61.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Merge Two Sorted Lists,60.5,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Jump Game II,60.5,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Spiral Matrix,60.5,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Find First and Last Position of Element in Sorted Array,60.5,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Unique Paths,59.7,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
